770,For sale apartment 2+kt 53 m²,"https://d18-a.sdn.cz/d_18/c_img_QR_L1/z6ohh2.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-letnany-/774698572
773,For sale apartment 2+kt 50 m²,"https://d18-a.sdn.cz/d_18/c_img_QN_J5/fVqBDzM.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/krecovice-zivohost-/3951830092
792,For sale apartment 1+kt 32 m²,"https://d18-a.sdn.cz/d_18/c_img_QN_J5/o23BmSY.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-krc-budejovicka/3970782284
800,For sale apartment 3+kt 68 m²,"https://d18-a.sdn.cz/d_18/c_img_QI_Jf/XLTpgn.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-ujezd-nad-lesy-zehusicka/3908244556
802,For sale apartment 2+1 59 m²,"https://d18-a.sdn.cz/d_18/c_img_QK_Jn/rwvBclO.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/brno-zidenice-skroupova/3636679756
804,For sale apartment 2+1 54 m²,"https://d18-a.sdn.cz/d_18/c_img_QI_Jh/NnoVS6.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/hlinsko-hlinsko-budovatelu/2957796428
805,For sale apartment 2+1 45 m²,"https://d18-a.sdn.cz/d_18/c_img_QM_Kb/c2ZBlby.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/karvina-nove-mesto-urxova/1391682636
810,For sale apartment 2+kt 49 m²,"https://d18-a.sdn.cz/d_18/c_img_gV_s/SCt6e8.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-chodov-nechvilova/1520337996
812,For sale apartment 3+kt 127 m²,"https://d18-a.sdn.cz/d_18/c_img_gV_s/JYTykb.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/benesov-benesov-k-pazderne/1849201740
858,For sale apartment 3+1 75 m²,"https://d18-a.sdn.cz/d_18/c_img_QL_J4/3NQB6a7.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-vrsovice-turkmenska/1658475596
863,For sale apartment 4+kt 174 m²,"https://d18-a.sdn.cz/d_18/c_img_QL_J4/GBvBZQE.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-horni-pocernice-khodlova/2014606412
865,For sale apartment 3+kt 80 m²,"https://d18-a.sdn.cz/d_18/c_img_QK_Jn/SqX1dA.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/dolni-brezany-dolni-brezany-delnicka/1119183948
867,For sale apartment 2+kt 39 m²,"https://d18-a.sdn.cz/d_18/c_img_QR_MC/cQSB0vC.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-strasnice-vinohradska/3033359436
869,For sale apartment 2+kt 46 m²,"https://d18-a.sdn.cz/d_18/c_img_QK_Jn/uYQBMSN.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-praha-5-nadrazni/2485081164
870,For sale apartment 2+kt 73 m²,"https://d18-a.sdn.cz/d_18/c_img_QN_J5/rnfBx6B.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-holesovice-varhulikove/2304857164
